VERTEX = 182
0	0	0
100	0	0
0	0	100
100	0	100
30	0	100
35	0	95
65	0	95
70	0	100
0	5	0
100	5	0
0	5	100
100	5	100
30	5	100
35	5	95
65	5	95
70	5	100
30	5	0
0	20	0
0	20	100
30	20	100
30	20	0
70	5	0
70	20	0
70	20	100
100	20	100
100	20	0
30	0	0
35	0	0
65	0	0
70	0	0
35	5	0
65	5	0
15	20	100
15.1	20	99
15.2	20	98
15.3	20	97
15.4	20	96
15.5	20	95
15.6	20	94
15.7	20	93
15.8	20	92
15.9	20	91
5	6	14
5	14	13
6	7	15
6	15	14
7	3	11
7	11	15
16	8	10
16	10	12
17	8	10
17	10	18
20	17	18
20	18	19
16	20	19
16	19	12
16	8	17
16	17	20
10	12	19
10	19	18
21	9	11
21	1	15
22	21	15
22	15	23
25	22	23
25	23	24
9	25	24
9	24	11
9	21	22
9	22	25
15	11	24
15	24	23
41	42	63
62	41	63
40	41	62
61	40	62
39	41	61
60	39	61
38	39	60
59	38	60
37	38	59
58	37	59
16	20	90
14.9	20	99
14.8	20	98
14.7	20	97
14.6	20	96
14.5	20	95
14.4	20	94
14.3	20	93	
14.2	20	92
14.1	20	91
14	20	90
15	20.3	99
15	20.6	98
15	20.9	97
15	21.2	96
15	21.5	95
15	21.8	94
15	22.1	93
15	22.4	92
15	22.7	91
15	23	90
15	23	89
14	20	0
16	20	0
15	23	0
85	20	100
85.1	20	99
85.2	20	98
85.3	20	97
85.4	20	96
85.5	20	95
85.6	20	94
85.7	20	93
85.8	20	92
85.9	20	91
86	20	90
84.9	20	99
84.8	20	98
84.7	20	97
84.6	20	96
84.5	20	95
84.4	20	94
84.3	20	93
84.2	20	92
84.1	20	91
84	20	90
57	37	58
36	37	57
56	36	57
35	36	56
55	35	56
34	35	55
54	34	55
33	34	54
53	33	54
32	33	53
42	65	66
42	66	63
63	52	51
63	51	62
62	51	50
62	50	61
61	50	49
61	49	60
60	49	48
60	48	59
59	48	47
59	47	58
58	47	57
57	47	46
57	46	56
56	46	45
56	45	55
55	45	44
55	44	54
54	44	43
54	43	53
53	43	32
64	52	63
64	63	66
77	100	101
77	101	98
67	68	88
88	68	89
68	69	89
89	69	90
85	20.3	99
85	20.6	98
85	20.9	97
85	21.2	96
85	21.5	95
85	21.8	94
85	22.1	93
85	22.4	92
85	22.7	91
85	23	90
85	23	89
84	20	0
86	20	0
85	23	0
FACE = 68
0	26	4
0	4	2
26	27	5
26	5	4
27	28	6
27	6	5
28	29	7
28	7	6
29	1	3
29	3	7
8	16	12
8	12	10
30	16	12
30	12	13
31	30	13
31	13	14
21	31	14
21	14	15
21	9	11
21	11	15
1	0	8
1	8	9
0	2	10
0	10	8
1	9	11
1	11	3
2	4	12
2	12	10
4	5	13
4	13	12
69	70	90
90	70	91
70	71	91
91	71	92
71	72	92
92	72	93
72	94	93
72	73	94
73	95	94
73	74	95
74	96	95
74	75	96
75	97	96
75	76	97
76	98	97
76	77	98
98	87	86
98	86	97
97	86	85
97	85	96
96	85	84
96	84	95
95	84	83
95	83	94
94	83	82
94	82	93
93	82	92
92	82	81
92	81	91
91	81	80
91	80	90
90	80	79
90	79	89
89	79	78
89	78	88
88	78	67
99	87	98
99	98	101
